episode,outcome,reward,loss,epsilon,buffer,moves
1,W,7.24,0.137,0.995,312,78
2,L,4.26,0.079,0.99,608,74
3,W,6.41,0.09,0.985,832,56
4,L,2.91,0.079,0.98,1040,52
5,W,5.95,0.061,0.975,1256,54
6,W,7.08,0.064,0.97,1496,59
7,W,5.6,0.052,0.966,1720,55
8,L,5.96,0.068,0.961,1960,61
9,L,9.77,0.062,0.956,2216,64
10,W,6.38,0.061,0.951,2432,53
11,L,2.24,0.06,0.946,2624,48
12,W,3.29,0.065,0.942,2776,37
13,W,2.33,0.051,0.937,2920,35
14,W,4.61,0.052,0.932,3072,38
15,W,6.85,0.047,0.928,3320,61
16,W,7.81,0.064,0.923,3616,73
17,L,2.35,0.075,0.918,3824,53
18,W,1.43,0.054,0.914,3936,28
19,L,1.28,0.044,0.909,4096,40
20,L,3.44,0.04,0.905,4376,71
21,L,0.93,0.046,0.9,4536,41
22,L,1.74,0.061,0.896,4744,52
23,L,1.62,0.048,0.891,4896,39
24,L,2.2,0.056,0.887,5096,51
25,L,7.99,0.054,0.882,5344,62
26,L,4.56,0.053,0.878,5592,63
27,W,4.94,0.047,0.873,5808,54
28,W,3.41,0.069,0.869,6000,47
29,W,5.14,0.054,0.865,6192,47
30,W,3.64,0.05,0.86,6344,37
31,L,0.68,0.04,0.856,6544,50
32,L,1.55,0.051,0.852,6736,49
33,L,8.24,0.055,0.848,6992,65
34,W,4.97,0.055,0.843,7184,47
35,L,3.67,0.051,0.839,7424,60
36,L,4.02,0.066,0.835,7624,50
37,W,2.56,0.054,0.831,7800,43
38,W,5.24,0.046,0.827,7984,46
39,W,1.67,0.059,0.822,8088,25
40,L,0.14,0.047,0.818,8192,27
41,W,8.03,0.06,0.814,8432,59
42,L,0.29,0.048,0.81,8592,41
43,W,3.13,0.056,0.806,8768,44
44,L,3.46,0.061,0.802,9056,72
45,L,-0.31,0.038,0.798,9224,42
46,W,3.97,0.05,0.794,9432,51
47,L,5.07,0.058,0.79,9672,61
48,W,5.56,0.044,0.786,9880,52
49,W,2.77,0.052,0.782,10032,37
50,W,4.63,0.069,0.778,10184,38
51,W,1.46,0.053,0.774,10320,33
52,W,9.17,0.044,0.771,10576,64
53,L,1.11,0.056,0.767,10744,42
54,W,3.61,0.047,0.763,10928,45
55,L,0.37,0.037,0.759,11104,45
56,W,3.19,0.055,0.755,11264,40
57,W,5.14,0.051,0.751,11496,57
58,W,4.54,0.038,0.748,11704,52
59,W,6.44,0.04,0.744,11944,59
60,L,1.2,0.048,0.74,12136,49
61,W,6.75,0.048,0.737,12384,62
62,L,3.5,0.054,0.733,12600,54
63,W,5.05,0.055,0.729,12824,55
64,W,1.7,0.063,0.726,13000,43
65,L,4.27,0.064,0.722,13208,53
66,W,1.84,0.065,0.718,13360,38
67,L,-0.49,0.036,0.715,13504,36
68,W,4.43,0.057,0.711,13712,52
69,W,3.49,0.046,0.708,13888,43
70,W,3.56,0.05,0.704,14048,39
71,W,7.77,0.046,0.701,14272,56
72,W,5.54,0.049,0.697,14560,72
73,L,0.58,0.046,0.694,14744,47
74,W,2.44,0.043,0.69,14880,33
75,L,-0.99,0.05,0.687,14944,17
76,W,9.47,0.045,0.683,15192,61
77,W,6.44,0.044,0.68,15400,52
78,L,-0.98,0.041,0.676,15520,30
79,W,2.14,0.045,0.673,15624,25
80,W,4.72,0.047,0.67,15792,41
81,L,6.72,0.04,0.666,16024,58
82,L,1.06,0.054,0.663,16208,46
83,W,6.9,0.061,0.66,16392,46
84,W,8.71,0.034,0.656,16656,66
85,L,-0.33,0.052,0.653,16816,41
86,W,5.9,0.05,0.65,16968,38
87,W,6.44,0.039,0.647,17200,58
88,L,0.43,0.051,0.643,17352,38
89,L,3.56,0.056,0.64,17592,60
90,W,5.49,0.046,0.637,17800,51
91,W,2.48,0.05,0.634,17952,38
92,W,4.82,0.05,0.631,18176,56
93,W,5.33,0.042,0.627,18368,47
94,L,3.92,0.041,0.624,18520,39
95,W,5.84,0.035,0.621,18728,52
96,W,11.99,0.044,0.618,19048,80
97,W,1.42,0.048,0.615,19120,18
98,W,4.17,0.031,0.612,19288,41
99,L,-0.33,0.035,0.609,19424,35
100,W,2.99,0.043,0.606,19568,35
101,W,3.69,0.054,0.603,19728,40
102,L,3.25,0.051,0.6,19928,51
103,W,7.18,0.042,0.597,20168,59
104,L,0.09,0.05,0.594,20304,35
105,L,4.26,0.04,0.591,20536,58
106,W,1.93,0.037,0.588,20664,31
107,L,3.27,0.051,0.585,20920,64
108,W,6.09,0.04,0.582,21088,41
109,L,1.36,0.039,0.579,21264,44
110,L,2.07,0.056,0.576,21544,70
111,W,7.58,0.06,0.573,21752,52
112,W,3.67,0.057,0.57,21928,43
113,W,3.47,0.044,0.568,22080,38
114,W,3.75,0.057,0.565,22224,36
115,W,9.23,0.05,0.562,22488,66
116,W,3.41,0.049,0.559,22648,40
117,L,2.5,0.037,0.556,22832,46
118,L,-0.3,0.046,0.554,22952,31
